latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,historical_flood_count,infrastructure_score,flood_occurrence_current_event
7.416887,81.789107,88,339.2,6,1,906,25.0,0,140.8,107.1,0.35,-0.378,0.504,0,12,0
6.266956,81.041369,58,1257.6,0,0,439,27.5,0,126.6,177.6,0.36,-0.175,-0.092,0,46,0
6.742164,80.927326,80,5225.3,2,4,136,3.7,0,155.1,242.2,0.728,0.455,-0.211,0,30,0
5.922365,81.484788,111,2950.4,5,3,729,16.3,1,10.1,171.6,0.288,0.439,-0.259,0,58,0
7.899872,80.826149,26,228.3,0,4,431,21.6,0,36.1,436.5,0.435,-0.007,0.229,1,45,0
6.394456,80.45167,34,2086.5,2,4,1730,27.6,1,19.5,93.4,0.87,0.666,-0.212,0,45,0
6.980463,81.847384,23,846.5,2,1,424,45.8,0,145.3,165.7,0.382,0.7,0.305,0,32,0
6.065139,80.979509,43,2072.2,0,1,1534,55.7,1,13.2,142.9,0.558,0.427,-0.081,0,56,0
7.029429,81.225805,843,1036.7,0,0,481,35.4,0,203.1,177.1,0.112,0.004,0.336,0,26,0
6.97407,80.198977,45,4452.1,2,4,552,41.8,0,103.0,45.9,0.838,0.471,-0.031,1,73,0
7.183534,80.031359,92,2381.7,6,0,477,4.1,0,72.3,257.2,0.779,0.446,0.429,2,49,0
6.187311,80.542764,54,1154.2,5,4,327,1.0,1,156.1,256.7,0.176,0.294,0.303,0,37,0
9.852201,80.811676,112,631.7,5,0,261,5.7,1,50.8,8.0,0.376,-0.303,-0.315,0,56,0
6.09325,80.923584,9,197.8,0,0,1368,59.0,1,108.0,200.3,0.466,0.486,0.293,1,69,0
9.712932,80.518731,912,147.7,5,1,1188,62.7,1,22.8,352.3,0.595,0.257,0.138,2,47,0
9.411822,80.9142,1105,2693.4,2,1,116,8.7,0,47.4,262.7,0.765,-0.491,0.05,0,45,0
9.097953,79.855214,8,1594.9,0,4,447,37.6,0,48.2,68.4,0.632,0.151,-0.118,0,44,0
9.191838,81.781309,6,3002.5,3,3,385,1.0,0,185.6,90.8,0.431,0.143,0.123,0,61,0
9.801051,79.677348,827,9913.7,1,4,745,21.8,0,1.8,544.5,0.36,0.344,-0.21,0,29,0
6.952797,80.669792,153,632.0,2,3,10,17.8,0,111.9,2.9,0.557,0.732,0.343,0,27,0
6.049129,79.951167,70,2771.9,4,0,2455,48.3,1,124.6,95.0,0.285,0.036,-0.0,0,52,0
9.820294,79.848919,74,1308.0,6,2,2171,72.9,1,28.8,208.7,0.72,0.129,-0.207,1,75,0
9.65268,80.757262,33,7827.3,6,1,10,1.0,0,52.9,258.7,0.204,0.027,0.054,0,69,0
7.307858,79.721561,1473,880.1,5,1,1164,1.0,1,32.8,139.4,0.251,0.109,-0.009,0,41,0
